file name,line count, actual content line count,number of revisions,lines per revision
npm/npmjs/-/shelljs.yaml,11,6,2,3
npm/npmjs/-/signalr.yaml,8,3,1,3
npm/npmjs/-/signals.yaml,8,3,1,3
npm/npmjs/-/slick.yaml,8,3,1,3
npm/npmjs/-/sntp.yaml,8,3,1,3
npm/npmjs/-/socket.io-adapter.yaml,8,3,1,3
npm/npmjs/-/sort-asc.yaml,8,3,1,3
npm/npmjs/-/sort-desc.yaml,8,3,1,3
npm/npmjs/-/sort-object.yaml,8,3,1,3
npm/npmjs/-/source-map.yaml,11,6,2,3
npm/npmjs/-/spdx-expression-parse.yaml,9,3,1,3
npm/npmjs/-/split.yaml,17,12,2,6
npm/npmjs/-/stackframe.yaml,8,3,1,3
npm/npmjs/-/stack-trace.yaml,8,3,1,3
npm/npmjs/-/stream-buffers.yaml,8,3,1,3
npm/npmjs/-/stream-combiner.yaml,14,9,1,9
npm/npmjs/-/streamqueue.yaml,8,3,1,3
npm/npmjs/-/string.prototype.codepointat.yaml,8,3,1,3
npm/npmjs/-/timers-browserify.yaml,19,15,5,3
npm/npmjs/-/tiny-attribution-generator.yaml,14,9,1,9
npm/npmjs/-/tinycolor.yaml,8,3,1,3
npm/npmjs/-/to-array.yaml,11,6,2,3
npm/npmjs/-/toastr.yaml,8,3,1,3
